Distância (quilômetros),Belém,Ananindeua,Parauapebas,Santarém,Marabá,Castanhal,Marituba,Tailândia,Abaetetuba,Tucuruí,Altamira,Paragominas,Bragança,Cametá,Barcarena
Belém,0,15,656,1166,494,72,20,203,69,392,765,301,217,181,38
Ananindeua,12,0,708,1218,546,62,10,254,81,444,816,291,207,192,49
Parauapebas,655,707,0,1075,168,756,705,454,611,431,673,552,836,639,645
Santarém,1166,1218,1074,0,908,1267,1215,965,1122,796,403,1228,1413,1004,1155
Marabá,492,544,167,909,0,593,541,291,448,268,507,389,673,476,481
Castanhal,70,60,770,1267,608,0,52,303,139,493,865,234,146,251,108
Marituba,20,10,706,1216,544,53,0,253,88,442,815,285,198,200,57
Tailândia,202,254,454,965,292,303,251,0,158,190,563,264,449,134,191
Abaetetuba,69,83,611,1122,449,139,88,158,0,347,720,321,284,136,58
Tucuruí,391,443,431,796,269,492,441,190,347,0,394,453,638,209,381
Altamira,764,816,672,403,506,865,813,563,720,394,0,826,1011,602,753
Paragominas,300,290,552,1228,390,233,287,264,320,453,826,0,300,427,354
Bragança,215,205,836,1412,674,146,197,449,284,638,1011,300,0,396,253
Cametá,180,194,639,1004,477,251,199,134,136,209,602,427,396,0,170
Barcarena,37,51,644,1155,482,108,56,191,58,380,753,354,253,170,0
