Distância (quilômetros),João Pessoa,Campina Grande,Santa Rita,Patos,Bayeux,Cabedelo,Sapé,Sousa,Cajazeiras,Guarabira,Queimadas,Mamanguape,São Bento,Areia,Pombal
João Pessoa,0,110,11,265,6,17,38,372,407,74,116,42,292,92,324
Campina Grande,110,0,99,156,104,118,73,265,298,59,16,94,192,35,218
Santa Rita,11,99,0,253,5,24,27,361,395,64,105,36,281,81,313
Patos,265,156,253,0,259,270,226,109,142,198,156,239,63,174,64
Bayeux,6,104,5,259,0,21,32,366,401,69,110,39,287,86,319
Cabedelo,17,118,24,270,21,0,45,376,411,74,125,35,294,95,328
Sapé,38,73,27,226,32,45,0,334,368,40,80,31,254,54,286
Sousa,372,265,361,109,366,376,334,0,38,303,266,344,92,281,48
Cajazeiras,407,298,395,142,401,411,368,38,0,339,298,379,130,316,85
Guarabira,74,59,64,198,69,74,40,303,339,0,73,41,220,26,255
Queimadas,116,16,105,156,110,125,80,266,298,73,0,104,197,49,220
Mamanguape,42,94,36,239,39,35,31,344,379,41,104,0,260,66,296
São Bento,292,192,281,63,287,294,254,92,130,220,197,260,0,201,50
Areia,92,35,81,174,86,95,54,281,316,26,49,66,201,0,233
Pombal,324,218,313,64,319,328,286,48,85,255,220,296,50,233,0
