Distância (quilômetros),Joinville,Florianópolis,Blumenau,São José,Lages,Criciúma,Chapecó,Itajaí,Jaraguá do Sul,Brusque,Tubarão,Balneário Camboriú,Santa Catarina,São Bento do Sul,Caçador
Joinville,0,147,72,148,223,269,385,70,31,88,242,79,226,54,222
Florianópolis,147,0,91,8,177,145,406,77,134,66,107,68,179,171,260
Blumenau,72,91,0,89,160,198,353,40,48,25,173,44,163,81,194
São José,148,8,89,0,169,139,398,78,133,64,102,69,171,170,254
Lages,223,177,160,169,0,134,240,192,192,161,148,191,3,198,134
Criciúma,269,145,198,139,134,0,364,208,245,182,42,201,134,270,266
Chapecó,385,406,353,398,240,364,0,392,358,367,386,395,239,335,163
Itajaí,70,77,40,78,192,208,392,0,62,32,177,10,195,102,233
Jaraguá do Sul,31,134,48,133,192,245,358,62,0,69,221,71,196,40,195
Brusque,88,66,25,64,161,182,367,32,69,0,153,30,164,105,211
Tubarão,242,107,173,102,148,42,386,177,221,153,0,169,148,250,273
Balneário Camboriú,79,68,44,69,191,201,395,10,71,30,169,0,194,111,237
Santa Catarina,226,179,163,171,3,134,239,195,196,164,148,194,0,201,135
São Bento do Sul,54,171,81,170,198,270,335,102,40,105,250,111,201,0,173
Caçador,222,260,194,254,134,266,163,233,195,211,273,237,135,173,0
